,listing_url,shop_name,size_options,shop_location,allows_returns,total_shop_sales,shop_reviews_count,shop_5_star_rating_percentage,shop_4_star_rating_percentage,shop_3_star_rating_percentage,shop_2_star_rating_percentage,shop_1_star_rating_percentage,item_reviews_count,listing_customer_reviews,listing_customer_reviews,listing_customer_reviews,listing_customer_reviews,start_price,ship_cost_germany
0,https://www.etsy.com/listing/987867780/christening-dress-wedding-dress-old?click_key=e6dfe32c75b1570733928b9d1b73d0d0eb684aaf%3A987867780&click_sum=40f2a27c&ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=flower+girl+dress&ref=search_in_grid-3-5&sca=1&sts=1,VilmaKenti,3,Germany,1,0,267,0.0,0.0,0.0,0.0,0.0,6,"Super fast shipping. The dress is high-quality processed, fits exactly and is beautiful. Thanks for that!","Very nice contact. Super nice dress. Unfortunately, the rose fell off on the day of baptism.But I still recommend the shop because the dress has👍🏼 a great quality.",Beautiful dresses made of very nice soft fabric. The specified size fits perfectly and the workmanship is great! Communication with Vilma also works great! A clear recommendation and always again!,A beautiful dress. Fits perfectly.,65.0,2.9
1,https://www.etsy.com/listing/623966882/school-enrollment-dress-flower-girl?click_key=6d8b757748b5774de502bf890abb96e093040971%3A623966882&click_sum=c4d10408&ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=flower+girl+dress&ref=search_in_grid-3-6,paulapustekuchen,14,Germany,0,0,214,0.0,0.0,0.0,0.0,0.0,12,Such a wonderful first day of school thanks to your support - the dress fit perfectly and the school bag was a dream - thank you very much - Nina was so happy - from today her favorite dress,The dress meets exactly the expectations! It swings beautifully and makes our daughter happy every day anew. Very cleanly processed and very pleasant skin feeling of the fabric.Marén makes a sympathetic impression via the mail - the dress even arrived lovingly packaged.Would I buy again at any time!,The dress looks exactly like in the photos. Fits wonderfully. Mom and daughter are very enthusiastic 🥰👍,The back-to-school dress more than met our expectations. It is very nicely crafted and fits perfectly.The contact was also super nice and I felt in good hands.,59.9,4.9
2,https://www.etsy.com/listing/969571460/flower-girl-dress-birthday-dress-baby?click_key=f4c0ec4b078eba09a4807c9ba34da473b6f9a255%3A969571460&click_sum=7779a2db&ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=flower+girl+dress&ref=search_in_grid-3-7&pro=1,HerMajestyFlowerGirl,16,Poland,1,0,430,0.91,0.05,0.02,0.0,0.02,0,N.A.,N.A.,N.A.,N.A.,59.1,21.11
3,https://www.etsy.com/listing/1179152639/cognac-flutter-sleeves-tiered-baby-girl?click_key=d4154e312d6f3bccc601a30550b33b4658abd047%3A1179152639&click_sum=a3f69a65&ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=flower+girl+dress&ref=search_in_grid-3-8&sts=1,OliveNaturalWear,16,Romania,1,0,24,1.0,0.0,0.0,0.0,0.0,0,N.A.,N.A.,N.A.,N.A.,66.0,7.0
4,https://www.etsy.com/listing/1080337303/bohemian-style-long-length-lace-34?click_key=f186231f8416d423ddde9c9a7c5b7f87393ac61b%3A1080337303&click_sum=ac41e45f&ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=flower+girl+dress&ref=search_in_grid-4-1,CocoFlowerGirls,9,United Kingdom,1,0,1748,0.93,0.04,0.01,0.01,0.01,0,N.A.,N.A.,N.A.,N.A.,63.7,24.32
5,https://www.etsy.com/listing/990405959/lavender-flower-girl-dress-linen-ruffle?click_key=e28fe5541c1332730099398235c9e0e508989293%3A990405959&click_sum=64f09b74&ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=flower+girl+dress&ref=search_in_grid-4-2,TinyLinenStories,14,Lithuania,0,0,130,0.98,0.01,0.02,0.0,0.0,0,N.A.,N.A.,N.A.,N.A.,60.0,0.0
6,https://www.etsy.com/listing/585522745/gold-ivory-flower-girl-dress-gold?click_key=675d19b2bd8dcac4d16a575f7d4f4b1386e97f30%3A585522745&click_sum=73d4c218&ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=flower+girl+dress&ref=search_in_grid-4-3&pro=1&frs=1&sts=1,MimozaLuxury,2,Bulgaria,0,0,607,0.95,0.02,0.0,0.0,0.02,0,N.A.,N.A.,N.A.,N.A.,97.35,0.0
7,https://www.etsy.com/listing/802395935/ivory-lace-key-hole-back-tiered-tulle?click_key=707dc2e6fdc8b729931fffc06fe1f1aca091e625%3A802395935&click_sum=fbcab9a1&ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=flower+girl+dress&ref=search_in_grid-4-4,MillyWeddingshop,14,United Kingdom,1,0,2696,0.0,0.0,0.0,0.0,0.0,5,"The most beautiful flower girl dress made to exact measurements. I couldn't find any 'high street' flower girl dresses that I really loved, so glad I found Milly's shop on Etsy the dress is even more beautiful in person than it was online. Thank you, Milly!","Stunning dress for my daughter when she’s a flower girl at our wedding, she loves twirling in it too!","Absolutely beautiful dress. Sent my daughters measurements and dress fits perfectly, with some wiggly room which is great. She will steal the show at our wedding now!
Thanks so much",N.A.,118.74,15.82
8,https://www.etsy.com/listing/1046937443/sleeveless-long-length-classic-flower?click_key=60cf3beeaa838693476c5ba8475a8757c9ccae1a%3A1046937443&click_sum=585dda76&ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=flower+girl+dress&ref=search_in_grid-4-5,CocoFlowerGirls,9,United Kingdom,1,0,1748,0.0,0.0,0.0,0.0,0.0,4,WOW WOW WOW!!! I cannot wait for my daughter to wear this dress as a surprise for my brother on his wedding day. From start to finish the process has been faultless. Thankyou for such a beautiful dress which made my 3 year old daughters face light up.,"Beautiful dress, my daughter loves it and will look beautiful as our kittle flowergirl in August. 
Thank you 💛",N.A.,N.A.,56.46,24.32
9,https://www.etsy.com/listing/561684494/handmade-beaded-circle-skirt-flower-girl?click_key=4f97d3dc6a5d23e2e7e139464657570402b2e3ec%3A561684494&click_sum=6e650351&ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=flower+girl+dress&ref=search_in_grid-4-6,Shopleilarae,8,United Kingdom,0,0,420,0.92,0.05,0.01,0.01,0.01,0,N.A.,N.A.,N.A.,N.A.,88.33,24.34
