listing_url,shop_name,size_options,shop_location,allows_returns,total_shop_sales,shop_reviews_count,shop_5_star_rating_percentage,shop_4_star_rating_percentage,shop_3_star_rating_percentage,shop_2_star_rating_percentage,shop_1_star_rating_percentage,item_reviews_count,listing_customer_reviews,listing_customer_reviews,listing_customer_reviews,listing_customer_reviews,start_price,ship_cost_germany
https://www.etsy.com/listing/695468236/white-newborn-baby-dress-infant?click_key=e6d2b1444bf70323c4e5bd469046146b91b57895%3A695468236&click_sum=f1e4b91d&ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=flower+girl+dress&ref=search_in_grid-3-5&etp=1&sts=1,NicolettesCouture,5,"Dubuque, IA",1,69452,10781,0.0,0.0,0.0,0.0,0.0,0,N.A.,N.A.,N.A.,N.A.,76.73,37.0
https://www.etsy.com/listing/613692612/champagne-flower-girl-dressflower-girl?click_key=e9d86187f76c53b5197e6748dfddf826c1c12166%3A613692612&click_sum=125bdc25&ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=flower+girl+dress&ref=search_in_grid-3-6&pro=1,SweetValentina,9,"Pleasant Grove, UT",1,12543,15771,0.92,0.05,0.01,0.01,0.01,0,N.A.,N.A.,N.A.,N.A.,25.14,13.69
https://www.etsy.com/listing/1140490444/special-occasion-girls-dress-flower-girl?click_key=95b081eed838e19fa5c6cdec148ef03679c856ce%3A1140490444&click_sum=110fce13&ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=flower+girl+dress&ref=search_in_grid-3-7&frs=1,AngelvalleyCreations,7,United Kingdom,0,609,74,0.0,0.0,0.0,0.0,0.0,0,N.A.,N.A.,N.A.,N.A.,51.91,0.0
https://www.etsy.com/listing/633747568/boho-lace-flower-girl-dress-ivory-tulle?click_key=150622da371808b1b0c30786968dc03483beadcd%3A633747568&click_sum=3ed466f0&ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=flower+girl+dress&ref=search_in_grid-3-8&etp=1&sts=1,NicolettesCouture,10,"Dubuque, IA",1,69452,10781,0.0,0.0,0.0,0.0,0.0,10,"Perfect dress for my daughter in our mommy & me photo shoot, loved it !❤️",Such s gorgeous dress! My 5 month old daughter stole the show in it!,"Absolutely perfect and beautiful dress! My Granddaughter felt and looked like a princess wearing this in my wedding! 

In the planning madness, I accidentally ordered two of the same dress. I only give 3 stars due to the no return/ credit/ discount, but again my error. 🤷🏻‍♀️🤷🏻‍♀️",This dress is AMAZING!!! Everything and more! I cannot wait for my little babe to wear this at my wedding in October! Fast delivery and the quality is so amazing!,72.96,37.0
https://www.etsy.com/listing/1053094487/silk-party-dress-flower-girl?click_key=9475cb35d9c229d614c38e81f6532d40c027f8d6%3A1053094487&click_sum=fc463403&ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=flower+girl+dress&ref=search_in_grid-4-1,Ameleysclothing,8,Lithuania,0,6,6,1.0,0.0,0.0,0.0,0.0,0,N.A.,N.A.,N.A.,N.A.,58.17,7.26
https://www.etsy.com/listing/919824822/holidays-dress-girl-sparkling-dress-girl?click_key=a7572b9aff2dff457202badcd7627d63a742f90a%3A919824822&click_sum=150b7d3c&ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=flower+girl+dress&ref=search_in_grid-4-2&sts=1,LILUstyleKIDS,10,Germany,1,518,134,1.0,0.0,0.0,0.0,0.0,0,N.A.,N.A.,N.A.,N.A.,55.0,2.99
https://www.etsy.com/listing/640405235/white-lace-flower-girl-dress-ivory-tulle?click_key=83a315a0d8a0c08469adbdcb5a97942dc9ec6c04%3A640405235&click_sum=8703c2fe&ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=flower+girl+dress&ref=search_in_grid-4-3&etp=1&sts=1,NicolettesCouture,10,"Dubuque, IA",1,69452,10781,0.0,0.0,0.0,0.0,0.0,20,We bought this as a flower girl dress and we are absolutely in love!! Everything we could have hoped for!,It is such a beautiful dress and it looks beautiful in my little girls.,"Perfect. I ordered a dress elsewhere and was very disappointed so i was nervous when purchasing another one online but I am glad i did bc i am absolutely thrilled with this dress. Its perfect. The belt just really puts it over the top with how cute and fancy it is. I will be purchasing from this shop again, the quality and design is exactly what I was looking for. Thank you so much",Perfect dress! Absolutely Love!!!,93.09,37.0
https://www.etsy.com/listing/990519443/apricot-tutu-skirt-blush-tutu-bridesmaid?click_key=b23c08705e3aec5994725ceed63b53e1e793ba2a%3A990519443&click_sum=ff95db30&ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=flower+girl+dress&ref=search_in_grid-4-4,OurKidSister,3,United Kingdom,1,546,60,0.98,0.02,0.0,0.0,0.0,0,N.A.,N.A.,N.A.,N.A.,37.49,9.69
https://www.etsy.com/listing/935570051/linen-boho-flower-girl-dress-linen?click_key=09342788ebffc456f73552557b21601825964c3d%3A935570051&click_sum=dae8d436&ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=flower+girl+dress&ref=search_in_grid-4-5&sts=1,GALANKA,0,Ukraine,0,563,104,0.0,0.0,0.0,0.0,0.0,0,N.A.,N.A.,N.A.,N.A.,88.06,29.6
https://www.etsy.com/listing/621119607/ivory-tulle-flower-girl-dress-boho-chic?click_key=75b6c9929a4a0e3bdfeff2723f9623f5acd60987%3A621119607&click_sum=af2104a9&ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=flower+girl+dress&ref=search_in_grid-4-6&sts=1,NicolettesCouture,9,"Dubuque, IA",1,69452,10781,0.92,0.05,0.01,0.01,0.01,0,N.A.,N.A.,N.A.,N.A.,89.31,37.0
https://www.etsy.com/listing/1096402090/tutu-flower-girl-dress-girl-wedding?click_key=173e20f9478c20428aa26299fedf80274f0d2ac7%3A1096402090&click_sum=d6b760f5&ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=flower+girl+dress&ref=search_in_grid-4-7&frs=1&sts=1,boutiqueWHITERABBIT,0,Ukraine,0,453,111,0.0,0.0,0.0,0.0,0.0,0,N.A.,N.A.,N.A.,N.A.,158.58,0.0
