listing_name,listing_url,listing_image,shop_name,start_price,size_options,ship_cost_germany,allows_returns,shop_location,shop_rating,shop_review_counts,item_review_counts,customer_item_reviews
3D Ivory Lace V neck Open Back Champagne Tulle Flower Girl Dress M0087,https://www.etsy.com/listing/802401415/3d-ivory-lace-v-neck-open-back-champagne?click_key=86c93f33181b5d584dac7802df60696aa09b97c2%3A802401415&click_sum=bd6e8212&ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=flower+girl+dress&ref=search_in_grid-3-8,https://i.etsystatic.com/12079668/r/il/e132ee/2288067548/il_340x270.2288067548_o9kf.jpg,MillyWeddingshop,121.50,14,0,1,United Kingdom,5,2.696,8,"[""This ended up being the best choice I made for our flower girl at our wedding.  I picked a couple options from Milly's shop and let our flower girl pick her favorite.  Milly was excellent with extending the length and the dress arrived in plenty of time for the wedding.  It is super well made - our flower girl rolled around a bit on the grass (as 3 year olds are wont to do on occasion), and had some grass stains on the dress after the wedding.  Her mom put some fels on it, and washed it in a mesh bag, and it's good as new!"", 'Perfect! Very beautiful! Each of her dresses is a masterpiece!', 'Amazing quality. True to size, a little small on the waist part though. My daughter is 22 months and the 2T JUST fits her. It looks beautiful and is very well made. I highly recommend.', 'This is STUNNING. I am so excited I bought these for my flower girls, they’re absolutely beautiful and the girls love them.']"
"Forest Green Sash for Flower Girl Dress, Dark Green Coloured Bow, Belt, Satin Tie for Dress, Wedding Accessory Available in Over 30 Colours",https://www.etsy.com/listing/272166674/forest-green-sash-for-flower-girl-dress?click_key=0c1643baae4cf6b82be1e51b570dc70cf3934b03%3A272166674&click_sum=3435e0be&ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=flower+girl+dress&ref=search_in_grid-4-1,https://i.etsystatic.com/10608562/r/il/bbc8d7/3966477038/il_340x270.3966477038_ja6k.jpg,OliveLaneWeddings,21.70,38,0,1,United Kingdom,5,835,0,N.A.
Plate Dress Jersey Dress Festive Dress Long Sleeve Dress Double Skirt Winter Flowers,https://www.etsy.com/listing/1311082368/plate-dress-jersey-dress-festive-dress?click_key=3c69c37e386576a61666bbef5cd0bc4e75a945e7%3A1311082368&click_sum=fa345037&ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=flower+girl+dress&ref=search_in_grid-4-2&sts=1,https://i.etsystatic.com/22748913/r/il/266560/4299092515/il_340x270.4299092515_561y.jpg,FadenzauberbyAntje,35.00,5,0,1,Germany,5,566,0,N.A.
"Boho flower girl dress, Ivory flower girl dress, Baby girl dress, Tulle flower girl dress, 100% money back guarantee",https://www.etsy.com/listing/727652210/boho-flower-girl-dress-ivory-flower-girl?click_key=715f8a53f049a81c1182c198060a5c82d1121c32%3A727652210&click_sum=a6cd3bc7&ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=flower+girl+dress&ref=search_in_grid-4-3&pro=1,https://i.etsystatic.com/19939919/c/1766/1404/128/996/il/932c54/2191632447/il_340x270.2191632447_bs81.jpg,FairyFayRemeziuk,78.68,0,0,1,"Feasterville Trevose, PA",5,344,14,"['Dress is as pictured and fits my flower girls perfectly! I added a petticoat for some extra volume and it took it to the next level 😄', 'The dresses fit my flower girls amazingly.  They looked and felt like high quality dresses.  The seller was also very communicative and got back to me with all of my questions so quickly.  The dresses turned out absolutely beautiful!', ""I ordered 5 of these for our flower girls. They were BEAUTIFUL and the pearls on the dress were everything. The low back isn't as low as it is in the pictures which I was kind of sad about, but the dresses are SO cute and the pictures came out beautiful. It was a rush delivery and we got it right on time. All dresses fit perfectly."", ""One of the best purchases I have made! Response time was so fast, seller was extremely kind and accommodating. Received the 3 flower girl dresses so quickly and was blown away by how beautiful they were. The quality was amazing and the dresses were perfect. They looked beautiful on my 3 niece's and I cannot wait to see them wearing them on our wedding day this summer! Thank you so much!!!""]"
"occasion dress, girls dress, baptism dress, birthday dress, first birthday, flowergirl dress, nude dress, baby dress, flower girl dress",https://www.etsy.com/listing/779051880/occasion-dress-girls-dress-baptism-dress?click_key=bbe0c71721cbc5e05a6c83880757088a66f407cc%3A779051880&click_sum=b279ca4c&ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=flower+girl+dress&ref=search_in_grid-4-4&frs=1&cns=1,https://i.etsystatic.com/20300937/r/il/b3bf60/2252633914/il_340x270.2252633914_8jrk.jpg,StudioDeVi,49.00,16,0,0,Lithuania,5,40,18,"['Exactly what I was looking for and imagined for my little girl! The seller was extremely responsive, made the dress to exact measurements as I sent and shipping was pretty quick too. So happy with the final product, and most importantly my daughter loved it, and was so comfortable in it since it was all cotton lined. 100% recommend.', 'These dresses are stunning! I ordered them for my twin daughters for my wedding over Thanksgiving weekend. The dresses are so perfect! So beautifully made and nice and comfy for a toddler. Very happy with this purchase!', 'Fit perfectly, great quality, beautiful. Perfect for my daughter she was a 7mo old flower girl!', 'The dress was absolutely beautiful!']"
"Flower Girl Dress, Bohemian White Flower Girl Dress, Boho Rustic Tulle Wedding Dress, Will You Be My Flower Girl Proposal, Boho Baby dress",https://www.etsy.com/listing/955595593/flower-girl-dress-bohemian-white-flower?click_key=3def49106e86fb48de9c3f6cbea45b3e8e67a21d%3A955595593&click_sum=77efe162&ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=flower+girl+dress&ref=search_in_grid-4-5,https://i.etsystatic.com/12618968/c/1588/1262/0/597/il/ec6ea9/3288192251/il_340x270.3288192251_dm3h.jpg,MissDandyAtelier,52.50,18,0,1,Spain,5,982,0,N.A.
Beautiful Bohemian Butterfly Inspired High Low Flower Girl Dress - Bridal Wedding Occasion Dress - Blush,https://www.etsy.com/listing/841897222/beautiful-bohemian-butterfly-inspired?click_key=2e2abe3e12d56d8be6b353d43467a9a65c86880f%3A841897222&click_sum=553e6c87&ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=flower+girl+dress&ref=search_in_grid-4-6,https://i.etsystatic.com/18619350/c/2000/1589/0/564/il/3bf5b4/2471696708/il_340x270.2471696708_4hp1.jpg,CocoFlowerGirls,57.85,9,0,1,United Kingdom,5,1.745,9,"[""Both dresses are breathtakingly beautiful. Great customer service from Lorna with all our wedding delays and date changes - they arrived quickly and the girls look amazing. Comfortable too - no scratchy sleeves like other dresses we've tried on. PERFECT xx"", 'I ordered two blush dresses for my daughters, and they are gorgeous and perfect! Just what we wanted for our beach wedding in July! ❤️', 'Absolutely beautiful!!!!', 'The dress is beautiful and the fabric quality. She fits my daughter perfectly']"
Bohemian Style Long Length Lace 3/4 Sleeve Hunter Green Classic Flower Girl Dress,https://www.etsy.com/listing/1080337303/bohemian-style-long-length-lace-34?click_key=389ce0c3f160821a32d0b5001c95cbc7251aafd8%3A1080337303&click_sum=a2b966a6&ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=flower+girl+dress&ref=search_in_grid-4-7,https://i.etsystatic.com/18619350/r/il/5e42b9/3360128201/il_340x270.3360128201_p3hd.jpg,CocoFlowerGirls,63.63,9,0,1,United Kingdom,5,1.745,0,N.A.
Swing dress school dress flower girl dress in lilac,https://www.etsy.com/listing/950860408/swing-dress-school-dress-flower-girl?click_key=4afc341873f0362b54f3a65de474c9caa5fcbe34%3A950860408&click_sum=8c9f195c&ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=flower+girl+dress&ref=search_in_grid-4-8,https://i.etsystatic.com/18324681/r/il/41ef09/2882462862/il_340x270.2882462862_7rfw.jpg,paulapustekuchen,59.00,14,0,1,Germany,5,214,0,N.A.
Baptism dress Babygirl clothes Peter Pan collar Junior bridesmaid dress Rustic flower girl dress White linen dress Casual summer dress,https://www.etsy.com/listing/981973415/baptism-dress-babygirl-clothes-peter-pan?click_key=6cf9ad435cacdecc3c5b81cb3d3f9f7543061c8a%3A981973415&click_sum=ac926ac6&ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=flower+girl+dress&ref=search_in_grid-5-1&pro=1&frs=1&sts=1,https://i.etsystatic.com/20070408/c/2000/1589/0/641/il/957da6/1990536006/il_340x270.1990536006_n2mh.jpg,ZyleApparel,89.20,20,0,1,Lithuania,5,214,0,N.A.
White Flower Girl Bridal Dress Bridesmaid Dress Girls Occasion Communion Dress - SALE TO CLEAR,https://www.etsy.com/listing/747403674/white-flower-girl-bridal-dress?click_key=604d59ea78b6d20ef37008c3268d96d00ff38743%3A747403674&click_sum=a2390628&ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=flower+girl+dress&ref=search_in_grid-5-2,https://i.etsystatic.com/18619350/r/il/e29a31/2166075497/il_340x270.2166075497_dvul.jpg,CocoFlowerGirls,36.16,0,0,1,United Kingdom,5,1.745,0,N.A.
"Lace flower girl dress, Boho flower girl dress, Flower girl dress long sleeve, Flower girl dress tulle, Flower girl dress toddler",https://www.etsy.com/listing/1132256033/lace-flower-girl-dress-boho-flower-girl?click_key=97c1f5b3f1dc9567e418e533fed47c05b86be9ab%3A1132256033&click_sum=751d1746&ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=flower+girl+dress&ref=search_in_grid-5-3&pro=1,https://i.etsystatic.com/23909643/c/1667/1325/0/363/il/946632/3556094215/il_340x270.3556094215_19rc.jpg,BeverlyCoStore,102.09,0,0,1,Ukraine,5,84,0,N.A.
Flower Girl Dress Boho Dress Occasion Bridal Dress - Lilac - Optional Sash,https://www.etsy.com/listing/747441736/flower-girl-dress-boho-dress-occasion?click_key=96357612165a0e05e7a836f052a9ff7db0731858%3A747441736&click_sum=df2b81fb&ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=flower+girl+dress&ref=search_in_grid-5-4,https://i.etsystatic.com/18619350/r/il/042b4c/2581904641/il_340x270.2581904641_n6bp.jpg,CocoFlowerGirls,56.40,9,0,1,United Kingdom,5,1.745,5,"['This dress is amazing and it shipped super fast.', 'Gorgeous', 'Very speedy delivered, well packaged,  gorgeous dress!', 'It fits great! Can’t wait to see our girls in these dresses!']"
"Long sleeve Bohemian Boho Flower girl dress , White Lace Tulle Girl Dress, Lace flower girl dress, Rustic flower girl dress, Communion dress",https://www.etsy.com/listing/1062237673/long-sleeve-bohemian-boho-flower-girl?click_key=338ef7a314c6b0d8d6bf0acc4e6f4814a9351bf3%3A1062237673&click_sum=0739790c&ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=flower+girl+dress&ref=search_in_grid-5-5,https://i.etsystatic.com/12618968/c/2000/1589/0/811/il/929979/3244587316/il_340x270.3244587316_iwl8.jpg,MissDandyAtelier,56.50,9,0,1,Spain,5,982,0,N.A.
The Dovecote Flower Girl Dress,https://www.etsy.com/listing/207704777/the-dovecote-flower-girl-dress?click_key=d275b585c6ecc5c7b5e0156ca6601ff9241078e0%3A207704777&click_sum=b5aeb0b1&ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=flower+girl+dress&ref=search_in_grid-5-6,https://i.etsystatic.com/6441951/r/il/e6a871/669400787/il_340x270.669400787_hbp8.jpg,gillygray,156.10,2,0,1,United Kingdom,5,427,7,"['The dress is even more beautiful in person.  Gilly Gray was a pleasure to work with. ', ""Late review, sorry! From the time I ordered the dress to the time I had it in hand was a week and a half. I was shocked. The quality is beautiful, the dress is beautiful, and my daughter can't wait to wear it for her Uncle and new Aunts wedding! Thank you so much! "", ""I haven't seen the dress yet as it was shipped directly to the bride to be. She said it's gorgeous and that my daughter will look so precious as her flower girl! The seller was great to communicate with as well."", 'Amazing, gorgeous dress.  So well made.  Thank you!!']"
